sym,rsi,sector
akhaber,-56.73,ert
ap,-61.83,ray
apardaz,-34.96,ray
boors,-32.28,mali
bterans,-45.22,other
dey,43.96,bank
evan,-85.68,ray
faira,-3.3,felez
faraboors,-55.74,mali
farak,-2.54,pey
faravar,-59.29,felez
fars,-5.0,petro
fasmin,-8.6,felez
fazar,-21.96,pey
fbahonar,-33.21,felez
fkhooz,-2.55,felez
fmeli,-14.36,felez
foolad,7.17,felez
foolazh,-23.06,felez
fsorb,-58.49,felez
fzarin,-63.3,felez
hafari,-22.72,pey
hamrah,-22.08,ert
hiweb,-72.21,ray
hkeshti,-12.59,haml
htaid,-3.32,haml
jam,-14.11,petro
jampilen,-27.02,petro
kala,-19.64,mali
kama,-44.72,felez
kave,-11.52,felez
kavir,-24.4,felez
kchad,-15.54,felez
kerman,0.45,sakht
kermasha,12.61,petro
kgohar,-8.52,felez
kgol,-9.45,felez
khgostar,-17.85,khodro
khodro,-6.87,khodro
khpars,-5.7,khodro
khsadra,3.64,pey
khsapa,-6.9,khodro
khzamya,11.7,khodro
kimia,-65.54,felez
knoor,-18.13,felez
krooy,-32.43,felez
lootoos,-11.95,mali
mafakher,-88.89,ray
margham,-51.21,ray
mobin,-27.82,petro
noori,7.36,petro
omid,-65.99,mali
pardakht,-3.62,ray
pars,-16.9,petro
parsan,-16.62,petro
petrol,-13.55,petro
ranfor,33.51,ray
rkish,-12.25,ray
rmapna,-19.33,pey
rtap,-64.12,ray
saba,-12.59,sar
sep,29.26,ray
sharak,-9.89,petro
shasta,7.0,sar
shavan,-50.11,naft
shbandar,-31.11,naft
shbriz,-38.88,naft
shcarbon,-50.93,petro
shdoos,-13.46,petro
shghadir,-15.22,petro
shgooya,-11.25,petro
shiran,9.1,petro
shiraz,-15.3,petro
shkhark,-12.83,petro
shpdis,-15.35,petro
shpna,-13.2,naft
shpoly,-63.13,other
shraz,-46.89,naft
shtran,-10.77,naft
smega,-63.82,other
snoosa,-91.48,sakht
tapico,10.91,petro
tapkish,-73.76,ray
tepko,-84.5,other
vati,-1.11,sar
vbank,-17.45,sar
vbime,-56.83,sar
vbmelat,-4.95,bank
vbsader,-4.39,bank
vghadir,-8.79,sar
vkar,-9.46,bank
vkharazm,-24.06,sar
vkhavar,8.42,bank
vmaden,-10.58,felez
vnovin,-4.31,bank
vomid,-36.34,sar
vpars,-20.27,bank
vpasar,-4.48,bank
vpetro,-16.73,petro
vpost,-39.87,bank
vrena,-33.89,khodro
vsakht,-3.9,sakht
vsanat,-0.46,sar
vsandogh,-21.86,sar
vsapa,-1.29,khodro
vsina,14.97,bank
vtejarat,-2.77,bank
zagros,-19.87,petro
zangan,-51.99,felez
zob,-5.35,felez
